Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;0,237369164824486;0,0400510364910588;8;238,5749;False;1570,444;42,07683;506,2957;56,63032;85218,41
2;0,193552896380424;0,0506326326911221;8;237,1908;False;1533,937;38,14845;486,4198;45,90896;302419,3
3;2,04595947265625;0,208388916635886;6;202,9202;True;2280;39,29726;651,6857;415,1664;1,295835E+07
4;1,22043561935425;0,128998027322814;6;202,9202;False;899,3922;23,83521;284,575;247,651;436387,9
5;1,50137865543365;0,261202387016965;6;202,9202;False;1093,372;25,60577;318,7953;304,66;951074,1
6;1,96301984786987;0,26867918841308;6;202,9202;False;1756,93;35,63303;542,5236;398,3363;785619,5
