Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1377,345703125;455,428685167432;9;312,5872;False;1377,346;43,34502;438,0745;10,61899;232063,9
2;1989,63354492188;457,385440653563;9;356,8735;False;1989,634;54,73468;637,0159;46,76945;334464
3;1857,89916992188;523,468450963497;7;363,2657;False;1857,899;47,21365;598,7605;-15,34045;48176,21
