Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;26,9532279968262;NaN;10;343,0232;False;1416,65;39,41968;443,1334;14,8214;31992,18
2;29,6971549987793;NaN;9;324,9862;False;1734,093;43,79441;552,4702;124,8211;505060,4
3;35,6388626098633;NaN;10;343,0232;False;1865,885;39,26651;562,6049;303,8165;524966,3
4;33,139102935791;NaN;9;243,1131;False;2252,645;50,98157;725,4241;-6,449076;712796,3
5;33,8178787231445;NaN;9;265,7343;False;1817,719;40,31268;578,7017;56,69562;779859,3
6;32,9177932739258;20,5566160798073;9;225,1211;False;1778,871;40,52985;556,4041;-10,80729;42999,78
7;54,5917053222656;22,898917960003;8;254,4005;True;2280;41,76459;680,4087;287,8936;7963925
8;57,2201118469238;31,6351930141449;8;254,4005;True;2280;39,84613;711,6787;344,0808;1,095506E+07
9;49,4435882568359;25,9528553694487;8;225,955;True;2280;46,11316;719,9839;212,7543;3279892
10;52,1481895446777;NaN;7;195,6692;True;2280;43,72156;706,4901;275,5198;3339888
11;51,4806900024414;21,4686998128891;8;217,303;True;2280;44,28845;696,595;247,775;7052354
12;42,2903366088867;19,6465641617775;8;217,303;True;2280;53,91302;708,332;93,85872;2029974
13;52,8398017883301;NaN;6;191,389;True;2280;43,14929;716,9397;175,3229;7902333
14;52,1923408508301;25,4112215459347;5;132,8742;True;2280;43,68457;708,079;208,0341;8981101
15;55,297435760498;23,2146727310494;5;132,8742;True;2280;41,23157;679,8313;355,7044;7166981
16;53,8810539245605;NaN;7;223,2331;True;2280;42,31543;669,084;306,5129;1,398696E+07
17;50,5940628051758;27,2127658367157;6;190,4724;True;2280;45,06458;712,5528;235,5405;5366996
18;55,911060333252;29,2359742164612;6;234,9898;True;2280;40,77905;686,2424;400,8132;7508947
19;58,1475830078125;31,2234837055206;6;146,754;True;2280;39,21057;724,681;340,3116;1,100923E+07
20;48,5023231506348;NaN;7;161,722;True;2280;47,00806;703,4787;251,7306;8567776
21;52,6442527770996;NaN;6;146,754;True;2280;43,30957;717,3101;215,7218;1,330687E+07
22;35,0561752319336;NaN;7;137,1795;False;1819,258;38,92163;574,8022;54,46663;530519,3
23;56,0634422302246;NaN;7;159,065;True;2280;40,66821;694,8745;408,621;8054357
24;54,4831771850586;NaN;6;121,7176;True;2280;41,84778;679,7975;267,5461;7523459
25;43,5467338562012;NaN;7;112,1424;True;2280;52,35754;717,2521;205,9241;8475929
26;55,5277557373047;30,7221276044846;7;112,1424;True;2280;41,06055;707,4188;281,5863;1,107915E+07
27;47,9025001525879;32,9620470046997;6;103,2539;True;2280;47,59668;696,7162;153,6497;3998042
28;56,2271499633789;32,3923652648926;6;112,2221;True;2280;40,5498;716,2869;291,3645;7834285
29;57,8147850036621;36,7973736763;7;116,232;True;2280;39,43628;721,4683;334,3653;1,080419E+07
30;55,9663429260254;34,4299978256226;7;83,59114;True;2280;40,73877;690,9859;297,4948;1,413942E+07
