Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;154,511001586914;16,2920676384121;9;320,2247;False;834,0392;36,03188;258,4299;154,511;512257,4
2;32,1193161010742;7,09785351706669;9;320,2247;False;1015,123;41,5284;321,6809;32,11932;39214,42
3;65,2972106933594;17,76247658059;8;309,552;False;1652,901;44,85278;521,228;65,29721;337981,2
4;276,838897705078;30,618384501338;8;276,3472;True;2280;41,8132;687,38;276,8389;1759544
5;455,895202636719;54,1582926690578;7;285,5424;True;2280;38,03876;671,47;455,8952;1,057529E+07
6;112,571784973145;29,3949527621269;7;285,5424;False;1901,091;42,38412;602,8483;112,5718;269072,1
7;450,700439453125;81,7188150655478;7;285,5424;True;2280;39,42346;650,4766;450,7004;9191390
8;387,175720214844;43,4200284063816;5;214,3778;False;1545,914;31,18787;475,8668;387,1757;694261,1
9;358,395660400391;51,3948972225189;6;250,9352;False;1783,568;34,33484;561,2817;358,3957;853683
10;430,361602783203;91,1350559830666;6;275,4551;True;2280;38,17017;669,8216;430,3616;9435490
11;217,22688293457;76,4624746620655;6;284,269;True;2280;48,51593;708,6181;217,2269;4436150
